valid_Loss,valid_WAcc,epoch,step,valid_F1,train_Loss,train_WAcc,train_F1
1.4168312549591064,0.6758241653442383,0,3124,0.06932451575994492,,,
,,0,3124,,1.5583016872406006,0.6767475605010986,0.06951124966144562
1.09257972240448,0.6758221983909607,1,6249,0.06932353973388672,,,
,,1,6249,,1.1865684986114502,0.6760009527206421,0.06961725652217865
1.0712436437606812,0.6758224368095398,2,9374,0.06932387501001358,,,
,,2,9374,,1.079620361328125,0.6759992241859436,0.06961683183908463
1.067365050315857,0.6758221983909607,3,12499,0.06932318210601807,,,
,,3,12499,,1.070091962814331,0.676000714302063,0.06961721181869507
1.0663187503814697,0.675823450088501,4,15624,0.06932399421930313,,,
,,4,15624,,1.0679391622543335,0.6760006546974182,0.06961773335933685
1.0660346746444702,0.6758235692977905,5,18749,0.0693240612745285,,,
,,5,18749,,1.0673513412475586,0.6759998202323914,0.06961727887392044
1.065967082977295,0.6758221387863159,6,21874,0.0693230926990509,,,
,,6,21874,,1.0672030448913574,0.6759997010231018,0.0696173757314682
1.0659232139587402,0.6758220195770264,7,24999,0.0693233385682106,,,
,,7,24999,,1.0671510696411133,0.6760013103485107,0.06961747258901596
1.0659170150756836,0.6758231520652771,8,28124,0.06932397186756134,,,
,,8,28124,,1.067142367362976,0.6760000586509705,0.0696169063448906
1.065924048423767,0.6758225560188293,9,31249,0.06932353228330612,,,
,,9,31249,,1.0671347379684448,0.6760007739067078,0.06961780041456223
