step,valid_Loss,valid_F1,valid_WAcc,epoch,train_Loss,train_F1,train_WAcc
3124,1.0777047872543335,0.06980736553668976,0.6781412363052368,0,,,
3124,,,,0,1.0811209678649902,0.0693863034248352,0.6764025092124939
6249,1.0723105669021606,0.06945790350437164,0.6759127378463745,1,,,
6249,,,,1,1.0700020790100098,0.06947434693574905,0.676552951335907
9374,1.0714612007141113,0.06945669651031494,0.6759108304977417,2,,,
9374,,,,2,1.0685186386108398,0.06946796923875809,0.6765124797821045
12499,1.0728551149368286,0.06945614516735077,0.6759092807769775,3,,,
12499,,,,3,1.0679891109466553,0.06946049630641937,0.676455557346344
15624,1.0699957609176636,0.06986525654792786,0.678242027759552,4,,,
15624,,,,4,1.0677083730697632,0.06944440305233002,0.6763625144958496
18749,1.0709384679794312,0.06945694983005524,0.6759109497070312,5,,,
18749,,,,5,1.067526936531067,0.06948219984769821,0.6765732169151306
21874,1.068979263305664,0.06945613771677017,0.675909698009491,6,,,
21874,,,,6,1.0673092603683472,0.0694410651922226,0.6763517260551453
24999,1.0710279941558838,0.06945766508579254,0.6759126782417297,7,,,
24999,,,,7,1.0671412944793701,0.06944992393255234,0.6763980984687805
28124,1.070000410079956,0.06945687532424927,0.6759107708930969,8,,,
28124,,,,8,1.0670723915100098,0.0694841518998146,0.6765797138214111
31249,1.0686489343643188,0.06945684552192688,0.675911545753479,9,,,
31249,,,,9,1.066979169845581,0.0694044753909111,0.6761477589607239
