valid_tp_step,step,valid_tn_step,valid_fn_step,valid_fp_step,valid_WAcc,epoch,valid_tp_epoch,valid_fp_epoch,valid_F1,valid_tn_epoch,valid_fn_epoch,valid_Loss
174.0,0,7295.0,1.0,4146.0,,,,,,,,
164.0,1,7295.0,1.0,4156.0,,,,,,,,
152.0,2,7295.0,1.0,4168.0,,,,,,,,
149.0,3,7295.0,1.0,4171.0,,,,,,,,
158.0,4,7296.0,0.0,4162.0,,,,,,,,
145.0,5,7296.0,0.0,4175.0,,,,,,,,
188.0,6,7296.0,0.0,4132.0,,,,,,,,
179.0,7,7296.0,0.0,4141.0,,,,,,,,
164.0,8,7296.0,0.0,4156.0,,,,,,,,
175.0,9,7295.0,1.0,4145.0,,,,,,,,
145.0,10,7296.0,0.0,4175.0,,,,,,,,
152.0,11,7296.0,0.0,4168.0,,,,,,,,
154.0,12,7296.0,0.0,4166.0,,,,,,,,
179.0,13,7296.0,0.0,4141.0,,,,,,,,
119.0,14,7296.0,0.0,4201.0,,,,,,,,
170.0,15,7296.0,0.0,4150.0,,,,,,,,
140.0,16,7295.0,1.0,4180.0,,,,,,,,
142.0,17,7295.0,1.0,4178.0,,,,,,,,
150.0,18,7296.0,0.0,4170.0,,,,,,,,
146.0,19,7296.0,0.0,4174.0,,,,,,,,
153.0,20,7296.0,0.0,4167.0,,,,,,,,
162.0,21,7296.0,0.0,4158.0,,,,,,,,
170.0,22,7296.0,0.0,4150.0,,,,,,,,
147.0,23,7296.0,0.0,4173.0,,,,,,,,
159.0,24,7296.0,0.0,4161.0,,,,,,,,
150.0,25,7295.0,1.0,4170.0,,,,,,,,
161.0,26,7294.0,2.0,4159.0,,,,,,,,
161.0,27,7296.0,0.0,4159.0,,,,,,,,
148.0,28,7296.0,0.0,4172.0,,,,,,,,
139.0,29,7294.0,2.0,4181.0,,,,,,,,
179.0,30,7296.0,0.0,4141.0,,,,,,,,
149.0,31,7296.0,0.0,4171.0,,,,,,,,
141.0,32,7296.0,0.0,4179.0,,,,,,,,
170.0,33,7295.0,1.0,4150.0,,,,,,,,
155.0,34,7294.0,2.0,4165.0,,,,,,,,
175.0,35,7295.0,1.0,4145.0,,,,,,,,
158.0,36,7296.0,0.0,4162.0,,,,,,,,
155.0,37,7295.0,1.0,4165.0,,,,,,,,
141.0,38,7296.0,0.0,4179.0,,,,,,,,
167.0,39,7296.0,0.0,4153.0,,,,,,,,
166.0,40,7295.0,1.0,4154.0,,,,,,,,
