valid_tn_step,valid_fn_step,step,valid_fp_step,valid_tp_step,valid_tp_epoch,valid_Loss,valid_tn_epoch,epoch,valid_WAcc,valid_fn_epoch,valid_F1,valid_fp_epoch
8143.0,17.0,0,3298.0,158.0,,,,,,,,
8150.0,10.0,1,3301.0,155.0,,,,,,,,
8147.0,13.0,2,3316.0,140.0,,,,,,,,
8145.0,15.0,3,3321.0,135.0,,,,,,,,
8153.0,7.0,4,3305.0,151.0,,,,,,,,
8154.0,6.0,5,3317.0,139.0,,,,,,,,
8148.0,12.0,6,3280.0,176.0,,,,,,,,
8142.0,18.0,7,3295.0,161.0,,,,,,,,
8150.0,10.0,8,3302.0,154.0,,,,,,,,
8150.0,10.0,9,3290.0,166.0,,,,,,,,
8154.0,6.0,10,3317.0,139.0,,,,,,,,
8150.0,10.0,11,3314.0,142.0,,,,,,,,
8151.0,9.0,12,3311.0,145.0,,,,,,,,
8152.0,8.0,13,3285.0,171.0,,,,,,,,
8151.0,9.0,14,3346.0,110.0,,,,,,,,
8148.0,12.0,15,3298.0,158.0,,,,,,,,
8150.0,10.0,16,3325.0,131.0,,,,,,,,
8145.0,15.0,17,3328.0,128.0,,,,,,,,
8150.0,10.0,18,3316.0,140.0,,,,,,,,
8148.0,12.0,19,3322.0,134.0,,,,,,,,
8149.0,11.0,20,3314.0,142.0,,,,,,,,
8151.0,9.0,21,3303.0,153.0,,,,,,,,
8145.0,15.0,22,3301.0,155.0,,,,,,,,
8145.0,15.0,23,3324.0,132.0,,,,,,,,
8152.0,8.0,24,3305.0,151.0,,,,,,,,
8149.0,11.0,25,3316.0,140.0,,,,,,,,
8150.0,10.0,26,3303.0,153.0,,,,,,,,
8145.0,15.0,27,3310.0,146.0,,,,,,,,
8151.0,9.0,28,3317.0,139.0,,,,,,,,
8148.0,12.0,29,3327.0,129.0,,,,,,,,
8151.0,9.0,30,3286.0,170.0,,,,,,,,
8152.0,8.0,31,3315.0,141.0,,,,,,,,
8149.0,11.0,32,3326.0,130.0,,,,,,,,
8148.0,12.0,33,3297.0,159.0,,,,,,,,
8147.0,13.0,34,3312.0,144.0,,,,,,,,
8152.0,8.0,35,3288.0,168.0,,,,,,,,
8143.0,17.0,36,3315.0,141.0,,,,,,,,
8145.0,15.0,37,3315.0,141.0,,,,,,,,
8150.0,10.0,38,3325.0,131.0,,,,,,,,
8149.0,11.0,39,3300.0,156.0,,,,,,,,
8150.0,10.0,40,3299.0,157.0,,,,,,,,
8154.0,6.0,41,3321.0,135.0,,,,,,,,
8150.0,10.0,42,3312.0,144.0,,,,,,,,
8151.0,9.0,43,3311.0,145.0,,,,,,,,
8148.0,12.0,44,3315.0,141.0,,,,,,,,
8143.0,17.0,45,3316.0,140.0,,,,,,,,
