valid_tn_step,valid_fp_step,valid_tp_step,valid_fn_step,step,valid_tp_epoch,valid_fn_epoch,valid_F1,epoch,valid_Loss,valid_fp_epoch,valid_tn_epoch,valid_WAcc
10133.0,1308.0,100.0,75.0,0,,,,,,,,
10130.0,1321.0,87.0,78.0,1,,,,,,,,
10126.0,1337.0,71.0,82.0,2,,,,,,,,
10138.0,1328.0,80.0,70.0,3,,,,,,,,
10139.0,1319.0,89.0,69.0,4,,,,,,,,
10146.0,1325.0,83.0,62.0,5,,,,,,,,
10124.0,1304.0,104.0,84.0,6,,,,,,,,
10107.0,1330.0,78.0,101.0,7,,,,,,,,
10134.0,1318.0,90.0,74.0,8,,,,,,,,
10126.0,1314.0,94.0,82.0,9,,,,,,,,
10143.0,1328.0,80.0,65.0,10,,,,,,,,
10128.0,1336.0,72.0,80.0,11,,,,,,,,
10127.0,1335.0,73.0,81.0,12,,,,,,,,
10120.0,1317.0,91.0,88.0,13,,,,,,,,
10148.0,1349.0,59.0,60.0,14,,,,,,,,
10125.0,1321.0,87.0,83.0,15,,,,,,,,
10136.0,1339.0,69.0,72.0,16,,,,,,,,
10131.0,1342.0,66.0,77.0,17,,,,,,,,
10128.0,1338.0,70.0,80.0,18,,,,,,,,
10141.0,1329.0,79.0,67.0,19,,,,,,,,
10129.0,1334.0,74.0,79.0,20,,,,,,,,
10128.0,1326.0,82.0,80.0,21,,,,,,,,
10120.0,1326.0,82.0,88.0,22,,,,,,,,
10127.0,1342.0,66.0,81.0,23,,,,,,,,
10133.0,1324.0,84.0,75.0,24,,,,,,,,
10135.0,1330.0,78.0,73.0,25,,,,,,,,
10128.0,1325.0,83.0,80.0,26,,,,,,,,
10135.0,1320.0,88.0,73.0,27,,,,,,,,
10129.0,1339.0,69.0,79.0,28,,,,,,,,
10140.0,1335.0,73.0,68.0,29,,,,,,,,
10121.0,1316.0,92.0,87.0,30,,,,,,,,
10140.0,1327.0,81.0,68.0,31,,,,,,,,
10138.0,1337.0,71.0,70.0,32,,,,,,,,
10126.0,1319.0,89.0,82.0,33,,,,,,,,
10135.0,1324.0,84.0,73.0,34,,,,,,,,
10128.0,1312.0,96.0,80.0,35,,,,,,,,
10131.0,1327.0,81.0,77.0,36,,,,,,,,
10120.0,1340.0,68.0,88.0,37,,,,,,,,
10142.0,1333.0,75.0,66.0,38,,,,,,,,
10137.0,1312.0,96.0,71.0,39,,,,,,,,
10128.0,1321.0,87.0,80.0,40,,,,,,,,
10134.0,1341.0,67.0,74.0,41,,,,,,,,
10133.0,1329.0,79.0,75.0,42,,,,,,,,
10131.0,1331.0,77.0,77.0,43,,,,,,,,
10140.0,1323.0,85.0,68.0,44,,,,,,,,
10132.0,1327.0,81.0,76.0,45,,,,,,,,
10112.0,1325.0,83.0,96.0,46,,,,,,,,
10135.0,1338.0,70.0,73.0,47,,,,,,,,
10134.0,1325.0,83.0,74.0,48,,,,,,,,
10140.0,1340.0,68.0,68.0,49,,,,,,,,
10147.0,1321.0,87.0,61.0,50,,,,,,,,
10132.0,1335.0,73.0,76.0,51,,,,,,,,
