valid_tn_step,step,valid_tp_step,valid_fp_step,valid_fn_step,valid_WAcc,valid_F1,valid_fn_epoch,valid_Loss,valid_tp_epoch,epoch,valid_tn_epoch,valid_fp_epoch
11164.0,0,43.0,277.0,132.0,,,,,,,,
11163.0,1,32.0,288.0,133.0,,,,,,,,
11172.0,2,29.0,291.0,124.0,,,,,,,,
11172.0,3,26.0,294.0,124.0,,,,,,,,
11171.0,4,33.0,287.0,125.0,,,,,,,,
11181.0,5,30.0,290.0,115.0,,,,,,,,
11145.0,6,37.0,283.0,151.0,,,,,,,,
11140.0,7,23.0,297.0,156.0,,,,,,,,
11163.0,8,31.0,289.0,133.0,,,,,,,,
11149.0,9,29.0,291.0,147.0,,,,,,,,
11175.0,10,24.0,296.0,121.0,,,,,,,,
11173.0,11,29.0,291.0,123.0,,,,,,,,
11171.0,12,29.0,291.0,125.0,,,,,,,,
11155.0,13,38.0,282.0,141.0,,,,,,,,
11197.0,14,20.0,300.0,99.0,,,,,,,,
11161.0,15,35.0,285.0,135.0,,,,,,,,
11178.0,16,23.0,297.0,118.0,,,,,,,,
11174.0,17,21.0,299.0,122.0,,,,,,,,
11174.0,18,28.0,292.0,122.0,,,,,,,,
11180.0,19,30.0,290.0,116.0,,,,,,,,
11171.0,20,28.0,292.0,125.0,,,,,,,,
11165.0,21,31.0,289.0,131.0,,,,,,,,
11160.0,22,34.0,286.0,136.0,,,,,,,,
11173.0,23,24.0,296.0,123.0,,,,,,,,
11167.0,24,30.0,290.0,129.0,,,,,,,,
11180.0,25,35.0,285.0,116.0,,,,,,,,
11163.0,26,30.0,290.0,133.0,,,,,,,,
11162.0,27,27.0,293.0,134.0,,,,,,,,
11176.0,28,28.0,292.0,120.0,,,,,,,,
11185.0,29,30.0,290.0,111.0,,,,,,,,
11150.0,30,33.0,287.0,146.0,,,,,,,,
11179.0,31,32.0,288.0,117.0,,,,,,,,
11180.0,32,25.0,295.0,116.0,,,,,,,,
11155.0,33,30.0,290.0,141.0,,,,,,,,
11161.0,34,22.0,298.0,135.0,,,,,,,,
11159.0,35,39.0,281.0,137.0,,,,,,,,
11171.0,36,33.0,287.0,125.0,,,,,,,,
11168.0,37,28.0,292.0,128.0,,,,,,,,
11179.0,38,24.0,296.0,117.0,,,,,,,,
11169.0,39,40.0,280.0,127.0,,,,,,,,
11157.0,40,28.0,292.0,139.0,,,,,,,,
11187.0,41,32.0,288.0,109.0,,,,,,,,
11164.0,42,22.0,298.0,132.0,,,,,,,,
11173.0,43,31.0,289.0,123.0,,,,,,,,
11172.0,44,29.0,291.0,124.0,,,,,,,,
11165.0,45,26.0,294.0,131.0,,,,,,,,
11147.0,46,30.0,290.0,149.0,,,,,,,,
11184.0,47,31.0,289.0,112.0,,,,,,,,
11165.0,48,26.0,294.0,131.0,,,,,,,,
11187.0,49,27.0,293.0,109.0,,,,,,,,
11185.0,50,37.0,283.0,111.0,,,,,,,,
11170.0,51,23.0,297.0,126.0,,,,,,,,
11162.0,52,31.0,289.0,134.0,,,,,,,,
11163.0,53,29.0,291.0,133.0,,,,,,,,
11183.0,54,24.0,296.0,113.0,,,,,,,,
11171.0,55,32.0,288.0,125.0,,,,,,,,
11168.0,56,19.0,301.0,128.0,,,,,,,,
11181.0,57,32.0,288.0,115.0,,,,,,,,
11159.0,58,26.0,294.0,137.0,,,,,,,,
11174.0,59,30.0,290.0,122.0,,,,,,,,
11158.0,60,33.0,287.0,138.0,,,,,,,,
11157.0,61,30.0,290.0,139.0,,,,,,,,
11167.0,62,33.0,287.0,129.0,,,,,,,,
11166.0,63,28.0,292.0,130.0,,,,,,,,
11168.0,64,28.0,292.0,128.0,,,,,,,,
11177.0,65,32.0,288.0,119.0,,,,,,,,
11184.0,66,21.0,299.0,112.0,,,,,,,,
11168.0,67,29.0,291.0,128.0,,,,,,,,
11156.0,68,32.0,288.0,140.0,,,,,,,,
11166.0,69,34.0,286.0,130.0,,,,,,,,
11169.0,70,32.0,288.0,127.0,,,,,,,,
11166.0,71,23.0,297.0,130.0,,,,,,,,
11169.0,72,23.0,297.0,127.0,,,,,,,,
11184.0,73,22.0,298.0,112.0,,,,,,,,
11186.0,74,37.0,283.0,110.0,,,,,,,,
11184.0,75,32.0,288.0,112.0,,,,,,,,
11171.0,76,37.0,283.0,125.0,,,,,,,,
11174.0,77,31.0,289.0,122.0,,,,,,,,
11187.0,78,31.0,289.0,109.0,,,,,,,,
11176.0,79,28.0,292.0,120.0,,,,,,,,
11186.0,80,27.0,293.0,110.0,,,,,,,,
11165.0,81,27.0,293.0,131.0,,,,,,,,
11188.0,82,31.0,289.0,108.0,,,,,,,,
11172.0,83,26.0,294.0,124.0,,,,,,,,
11164.0,84,26.0,294.0,132.0,,,,,,,,
11173.0,85,30.0,290.0,123.0,,,,,,,,
11168.0,86,27.0,293.0,128.0,,,,,,,,
11156.0,87,25.0,295.0,140.0,,,,,,,,
11168.0,88,28.0,292.0,128.0,,,,,,,,
