valid_tn_step,valid_tp_step,valid_fp_step,step,valid_fn_step,valid_F1,valid_Loss,valid_fp_epoch,valid_tp_epoch,valid_tn_epoch,valid_WAcc,epoch,valid_fn_epoch
11441.0,0.0,0.0,0,175.0,,,,,,,,
11451.0,0.0,0.0,1,165.0,,,,,,,,
11463.0,0.0,0.0,2,153.0,,,,,,,,
11466.0,0.0,0.0,3,150.0,,,,,,,,
11458.0,0.0,0.0,4,158.0,,,,,,,,
11471.0,0.0,0.0,5,145.0,,,,,,,,
11428.0,0.0,0.0,6,188.0,,,,,,,,
11437.0,0.0,0.0,7,179.0,,,,,,,,
11452.0,0.0,0.0,8,164.0,,,,,,,,
11440.0,0.0,0.0,9,176.0,,,,,,,,
11471.0,0.0,0.0,10,145.0,,,,,,,,
11464.0,0.0,0.0,11,152.0,,,,,,,,
11462.0,0.0,0.0,12,154.0,,,,,,,,
11437.0,0.0,0.0,13,179.0,,,,,,,,
11497.0,0.0,0.0,14,119.0,,,,,,,,
11446.0,0.0,0.0,15,170.0,,,,,,,,
11475.0,0.0,0.0,16,141.0,,,,,,,,
11473.0,0.0,0.0,17,143.0,,,,,,,,
11466.0,0.0,0.0,18,150.0,,,,,,,,
11470.0,0.0,0.0,19,146.0,,,,,,,,
11463.0,0.0,0.0,20,153.0,,,,,,,,
11454.0,0.0,0.0,21,162.0,,,,,,,,
11446.0,0.0,0.0,22,170.0,,,,,,,,
11469.0,0.0,0.0,23,147.0,,,,,,,,
11457.0,0.0,0.0,24,159.0,,,,,,,,
11465.0,0.0,0.0,25,151.0,,,,,,,,
11453.0,0.0,0.0,26,163.0,,,,,,,,
11455.0,0.0,0.0,27,161.0,,,,,,,,
11468.0,0.0,0.0,28,148.0,,,,,,,,
11475.0,0.0,0.0,29,141.0,,,,,,,,
11437.0,0.0,0.0,30,179.0,,,,,,,,
11467.0,0.0,0.0,31,149.0,,,,,,,,
11475.0,0.0,0.0,32,141.0,,,,,,,,
11445.0,0.0,0.0,33,171.0,,,,,,,,
11459.0,0.0,0.0,34,157.0,,,,,,,,
11440.0,0.0,0.0,35,176.0,,,,,,,,
11458.0,0.0,0.0,36,158.0,,,,,,,,
11460.0,0.0,0.0,37,156.0,,,,,,,,
11475.0,0.0,0.0,38,141.0,,,,,,,,
11449.0,0.0,0.0,39,167.0,,,,,,,,
11449.0,0.0,0.0,40,167.0,,,,,,,,
11475.0,0.0,0.0,41,141.0,,,,,,,,
11462.0,0.0,0.0,42,154.0,,,,,,,,
11462.0,0.0,0.0,43,154.0,,,,,,,,
11463.0,0.0,0.0,44,153.0,,,,,,,,
11459.0,0.0,0.0,45,157.0,,,,,,,,
11437.0,0.0,0.0,46,179.0,,,,,,,,
11473.0,0.0,0.0,47,143.0,,,,,,,,
11459.0,0.0,0.0,48,157.0,,,,,,,,
11480.0,0.0,0.0,49,136.0,,,,,,,,
11468.0,0.0,0.0,50,148.0,,,,,,,,
11467.0,0.0,0.0,51,149.0,,,,,,,,
11451.0,0.0,0.0,52,165.0,,,,,,,,
11454.0,0.0,0.0,53,162.0,,,,,,,,
11479.0,0.0,0.0,54,137.0,,,,,,,,
11459.0,0.0,0.0,55,157.0,,,,,,,,
11469.0,0.0,0.0,56,147.0,,,,,,,,
11469.0,0.0,0.0,57,147.0,,,,,,,,
11453.0,0.0,0.0,58,163.0,,,,,,,,
11464.0,0.0,0.0,59,152.0,,,,,,,,
11445.0,0.0,0.0,60,171.0,,,,,,,,
11447.0,0.0,0.0,61,169.0,,,,,,,,
11454.0,0.0,0.0,62,162.0,,,,,,,,
11458.0,0.0,0.0,63,158.0,,,,,,,,
11460.0,0.0,0.0,64,156.0,,,,,,,,
11465.0,0.0,0.0,65,151.0,,,,,,,,
11483.0,0.0,0.0,66,133.0,,,,,,,,
11459.0,0.0,0.0,67,157.0,,,,,,,,
11444.0,0.0,0.0,68,172.0,,,,,,,,
11452.0,0.0,0.0,69,164.0,,,,,,,,
11457.0,0.0,0.0,70,159.0,,,,,,,,
11463.0,0.0,0.0,71,153.0,,,,,,,,
11466.0,0.0,0.0,72,150.0,,,,,,,,
11482.0,0.0,0.0,73,134.0,,,,,,,,
11469.0,0.0,0.0,74,147.0,,,,,,,,
11472.0,0.0,0.0,75,144.0,,,,,,,,
11454.0,0.0,0.0,76,162.0,,,,,,,,
11463.0,0.0,0.0,77,153.0,,,,,,,,
11476.0,0.0,0.0,78,140.0,,,,,,,,
11468.0,0.0,0.0,79,148.0,,,,,,,,
11479.0,0.0,0.0,80,137.0,,,,,,,,
11458.0,0.0,0.0,81,158.0,,,,,,,,
11477.0,0.0,0.0,82,139.0,,,,,,,,
11466.0,0.0,0.0,83,150.0,,,,,,,,
11458.0,0.0,0.0,84,158.0,,,,,,,,
11463.0,0.0,0.0,85,153.0,,,,,,,,
11461.0,0.0,0.0,86,155.0,,,,,,,,
11451.0,0.0,0.0,87,165.0,,,,,,,,
11460.0,0.0,0.0,88,156.0,,,,,,,,
11449.0,0.0,0.0,89,167.0,,,,,,,,
11458.0,0.0,0.0,90,158.0,,,,,,,,
11467.0,0.0,0.0,91,149.0,,,,,,,,
11471.0,0.0,0.0,92,145.0,,,,,,,,
11466.0,0.0,0.0,93,150.0,,,,,,,,
11475.0,0.0,0.0,94,141.0,,,,,,,,
11452.0,0.0,0.0,95,164.0,,,,,,,,
11451.0,0.0,0.0,96,165.0,,,,,,,,
11457.0,0.0,0.0,97,159.0,,,,,,,,
11443.0,0.0,0.0,98,173.0,,,,,,,,
11456.0,0.0,0.0,99,160.0,,,,,,,,
11445.0,0.0,0.0,100,171.0,,,,,,,,
11443.0,0.0,0.0,101,173.0,,,,,,,,
11465.0,0.0,0.0,102,151.0,,,,,,,,
11459.0,0.0,0.0,103,157.0,,,,,,,,
11446.0,0.0,0.0,104,170.0,,,,,,,,
11499.0,0.0,0.0,105,117.0,,,,,,,,
11456.0,0.0,0.0,106,160.0,,,,,,,,
11466.0,0.0,0.0,107,150.0,,,,,,,,
11457.0,0.0,0.0,108,159.0,,,,,,,,
11484.0,0.0,0.0,109,132.0,,,,,,,,
11468.0,0.0,0.0,110,148.0,,,,,,,,
11474.0,0.0,0.0,111,142.0,,,,,,,,
11455.0,0.0,0.0,112,161.0,,,,,,,,
11426.0,0.0,0.0,113,190.0,,,,,,,,
11451.0,0.0,0.0,114,165.0,,,,,,,,
11450.0,0.0,0.0,115,166.0,,,,,,,,
11452.0,0.0,0.0,116,164.0,,,,,,,,
11447.0,0.0,0.0,117,169.0,,,,,,,,
11462.0,0.0,0.0,118,154.0,,,,,,,,
11473.0,0.0,0.0,119,143.0,,,,,,,,
11457.0,0.0,0.0,120,159.0,,,,,,,,
11449.0,0.0,0.0,121,167.0,,,,,,,,
11457.0,0.0,0.0,122,159.0,,,,,,,,
11458.0,0.0,0.0,123,158.0,,,,,,,,
11450.0,0.0,0.0,124,166.0,,,,,,,,
11449.0,0.0,0.0,125,167.0,,,,,,,,
11434.0,0.0,0.0,126,182.0,,,,,,,,
11459.0,0.0,0.0,127,157.0,,,,,,,,
11465.0,0.0,0.0,128,151.0,,,,,,,,
11447.0,0.0,0.0,129,169.0,,,,,,,,
11464.0,0.0,0.0,130,152.0,,,,,,,,
11457.0,0.0,0.0,131,159.0,,,,,,,,
11451.0,0.0,0.0,132,165.0,,,,,,,,
11455.0,0.0,0.0,133,161.0,,,,,,,,
11455.0,0.0,0.0,134,161.0,,,,,,,,
11476.0,0.0,0.0,135,140.0,,,,,,,,
11444.0,0.0,0.0,136,172.0,,,,,,,,
11471.0,0.0,0.0,137,145.0,,,,,,,,
11464.0,0.0,0.0,138,152.0,,,,,,,,
11444.0,0.0,0.0,139,172.0,,,,,,,,
11468.0,0.0,0.0,140,148.0,,,,,,,,
11466.0,0.0,0.0,141,150.0,,,,,,,,
11460.0,0.0,0.0,142,156.0,,,,,,,,
11443.0,0.0,0.0,143,173.0,,,,,,,,
11455.0,0.0,0.0,144,161.0,,,,,,,,
11468.0,0.0,0.0,145,148.0,,,,,,,,
11434.0,0.0,0.0,146,182.0,,,,,,,,
11462.0,0.0,0.0,147,154.0,,,,,,,,
11453.0,0.0,0.0,148,163.0,,,,,,,,
11452.0,0.0,0.0,149,164.0,,,,,,,,
11454.0,0.0,0.0,150,162.0,,,,,,,,
11468.0,0.0,0.0,151,148.0,,,,,,,,
11455.0,0.0,0.0,152,161.0,,,,,,,,
11480.0,0.0,0.0,153,136.0,,,,,,,,
11462.0,0.0,0.0,154,154.0,,,,,,,,
11446.0,0.0,0.0,155,170.0,,,,,,,,
11460.0,0.0,0.0,156,156.0,,,,,,,,
11474.0,0.0,0.0,157,142.0,,,,,,,,
11484.0,0.0,0.0,158,132.0,,,,,,,,
11455.0,0.0,0.0,159,161.0,,,,,,,,
11463.0,0.0,0.0,160,153.0,,,,,,,,
11456.0,0.0,0.0,161,160.0,,,,,,,,
